Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
XGBoost,0.9820841941274088,0.9394335511982571,0.5216549721751754,0.6708151835718731,0.9553916961618423,0.7723773193075408
Random Forest,0.982405933552342,0.8971781986857363,0.5615775465763369,0.6907738095238095,0.9539718358864742,0.774408070038612
LightGBM,0.9797896840180174,0.9177033492822967,0.46406968303895474,0.6164229471316085,0.9454198354376979,0.727555491116739
Decision Tree,0.9691045483794494,0.5572374645222328,0.5700459714493105,0.5635689510824065,0.7768106584599043,0.3326965233206358
Logistic Regression,0.7872201713685779,0.09428858489836928,0.5903701911444471,0.16260704408383592,0.7429934455617445,0.10485088108469491
