Feature,Mean_SHAP
V190,0.0007050015
V215,0.0007002235
V264,0.0006900955
V197,0.0006891329
V210,0.00067444675
V202,0.0006629012
V329,0.00066126895
V232,0.000659079
V273,0.00065584335
V172,0.00065232586
V109,0.0006481416
V81,0.00063858816
V267,0.00063605065
D14,0.00063411705
NormalizedDistance,0.00061939715
V303,0.000605119
V18,0.0005886554
V278,0.00056491635
V228,0.00055808306
V40,0.00055713
V255,0.0005470154
V265,0.00054125383
V270,0.00053590484
V271,0.0005349788
V288,0.00053451734
id_29,0.0005299028
V229,0.0005297378
V211,0.00052639627
V242,0.00051953155
V237,0.00051684893
V204,0.00051229296
V168,0.0005074534
V234,0.0005018662
V17,0.0004965201
V73,0.0004908648
V184,0.00048829877
id_11,0.00047101913
V225,0.00046964735
V100,0.0004609199
V246,0.0004604966
V275,0.00045729944
V161,0.00045081845
V196,0.00044531413
V177,0.00042451144
V319,0.00041094632
AboveGlobalMean,0.00040387525
V146,0.00039957062
V212,0.0003946157
V80,0.00038054542
V248,0.00037381932
V326,0.00037381757
V331,0.0003729586
V238,0.00036985896
id_37,0.00036749593
V205,0.00036540884
V9,0.00036454873
V336,0.0003643453
V123,0.00036336205
V158,0.00035486268
V151,0.00035159523
V299,0.000344115
V253,0.0003428622
V164,0.00034165266
id_34,0.00031393472
V198,0.00031029974
V105,0.00030742242
V254,0.00030486172
V140,0.0002991862
V157,0.00029557556
V178,0.00029149643
V101,0.00028049384
V148,0.0002718119
V15,0.00026677625
id_38,0.00026544827
V163,0.0002650224
V260,0.0002622062
V230,0.00025835418
V290,0.00024879145
V111,0.00024303996
V214,0.00023890281
V252,0.00023778398
V249,0.00023591149
V222,0.00023419203
V42,0.00023179899
Addr2MeanAmt,0.00023132104
V227,0.0002301234
V171,0.00021186982
V247,0.0002086129
V46,0.0002051775
V93,0.00019523017
V337,0.00019044604
V334,0.0001896002
id_10,0.00018315698
V141,0.00017767701
V186,0.00016541888
V192,0.00015833088
V125,0.00015674168
id_28,0.0001554997
V185,0.00015308097
V180,0.00014941575
V155,0.0001453668
V121,0.00013769441
V284,0.000132619
V21,0.00013246383
V193,0.0001322507
V182,0.00013108247
V239,0.00012922128
V226,0.00012752325
V231,0.00012170017
V144,0.00011499097
V194,0.00011277349
V269,0.00010976856
V330,0.00010384934
addr2,0.00010377574
V106,9.377489e-05
V39,9.0870155e-05
V236,8.285481e-05
V173,8.2413804e-05
V183,7.8998e-05
V191,7.867818e-05
V142,7.621709e-05
V175,7.0698086e-05
V327,6.6451044e-05
V84,6.273246e-05
V138,6.036405e-05
V32,5.7746965e-05
V181,5.2079053e-05
V174,5.1549036e-05
V235,5.0917803e-05
V322,4.5734007e-05
V154,4.2887794e-05
V179,3.9120463e-05
ProductStdAmt,3.8377428e-05
V250,3.6107547e-05
